Average electricity cost assumption: 0.05 USD/kWh,,,
Date,Lower bound cost of minting USD,Estimated cost of minting USD,Upper bound cost of minting USD
2025-02-09,24627.11493425132,46741.93712983798,95653.65258526581
2025-02-10,24830.877679896115,47052.03011563515,95185.03110626845
2025-02-11,25024.975885016356,47419.8268045175,95929.07422589604
2025-02-12,25222.825933953758,47794.73286224898,96687.49941348941
2025-02-13,25419.86219353781,48168.0968705348,97442.80507522826
2025-02-14,25616.007323614234,48539.77227751661,98194.69474052124
2025-02-15,25817.925666397732,48922.38734525706,98968.71505452464
2025-02-16,25879.88791212861,49039.799604692496,99206.236996493
2025-02-17,25866.600730607042,48980.30997098011,97927.690870529
2025-02-18,25876.4600676512,48964.55047400172,96733.21470093259
2025-02-19,25868.699251142534,48915.494029206595,95474.46763802382
2025-02-20,25862.788583962705,48869.93532385336,94222.522706112
2025-02-21,25847.116010773032,48805.91997577121,92934.6309437673
2025-02-22,25821.762741004284,48723.569795865915,91609.95614595115
2025-02-23,25725.961328637273,48508.4439152563,90040.86465023046
2025-02-24,25545.088111961046,48167.39239244522,89407.80839186367
2025-02-25,25378.575511237676,47853.419007731245,88825.01428933186
2025-02-26,25231.53801905562,47576.16756309762,88310.38306669467
2025-02-27,25098.202886973137,47324.75306029511,87843.710104406
2025-02-28,24983.2945065368,47108.08373328402,87441.5307728788
2025-03-01,24876.1318162816,46687.9560995908,87066.4613569856
2025-03-02,24837.238487273677,46397.0826489713,86930.33470545788
2025-03-03,24907.99734568917,46312.59813840373,87177.9907099121
2025-03-04,24954.595437804986,46182.30185278469,87341.08403231746
2025-03-05,24991.93288372148,46034.51973236939,87471.7650930252
2025-03-06,25020.61571756454,45870.05766657788,87572.15501147589
2025-03-07,25024.320585685397,45659.1668046367,87585.12204989891
2025-03-08,25030.950930171482,45671.26447593314,87608.3282556002
2025-03-09,25069.359146982253,45741.34378825759,87742.7570144379
2025-03-10,25126.568630519298,45845.72773517359,87942.99020681756
2025-03-11,25168.485585612198,45869.042662936045,86883.42843921522
2025-03-12,25221.781265489473,45912.946135947146,85859.76750795622
2025-03-13,25268.088066400793,45944.11349057198,84812.00243586606
2025-03-14,25321.072100434383,45987.52717582191,83789.03948262664
2025-03-15,25365.267733467605,46014.892338614314,82735.01583878559
2025-03-16,25397.14205311727,46019.61713697301,81634.26014009476
2025-03-17,25398.15269274714,45968.116558603055,80427.48352703259
